Source,Target,Weight
meant,discussion,462
meant,current,1260
meant,war,2436
meant,also,3612
meant,know,420
meant,invasion,1260
meant,please,1260
meant,read,420
meant,extend,462
meant,news,1680
meant,guardian,462
meant,associated,462
meant,press,462
meant,al,420
meant,financial,252
meant,times,252
meant,section,210
meant,get,840
meant,date,840
meant,information,1680
meant,r,2058
meant,live,840
meant,thread,840
meant,situation,1302
meant,extension,1260
meant,extended,378
meant,curb,420
meant,hate,798
meant,speech,798
meant,already,210
meant,ban,630
meant,remind,210
meant,population,210
meant,actively,210
meant,help,210
meant,russia,672
meant,calling,420
meant,kill,420
meant,discretion,378
meant,remove,1218
meant,egregious,378
meant,disrespect,378
meant,point,420
meant,make,378
meant,international,840
meant,law,420
meant,apply,462
meant,unverified,420
meant,kind,840
meant,unless,840
meant,reputable,420
meant,government,1218
meant,absolutely,420
meant,justification,420
meant,addition,420
meant,ask,798
meant,add,420
meant,tag,420
meant,go,882
meant,link,2604
meant,graphic,420
meant,footage,798
meant,anything,420
meant,consider,840
meant,upsetting,420
meant,combat,378
meant,dead,378
meant,people,756
meant,submission,420
meant,front,756
meant,page,1260
meant,status,420
meant,major,1260
meant,e,462
meant,g,462
meant,city,882
meant,x,420
meant,still,462
meant,hold,420
meant,would,1386
meant,attack,420
meant,dot,378
meant,may,420
meant,even,462
meant,approve,672
meant,site,1722
meant,like,420
meant,tass,420
meant,archive,798
meant,similar,420
meant,u,630
meant,script,210
meant,notify,420
meant,moderation,420
meant,team,420
meant,explain,420
meant,person,420
meant,organization,756
meant,promote,378
meant,new,756
meant,non,378
meant,profit,378
meant,love,378
meant,pour,378
meant,civilian,378
meant,limit,378
meant,links,378
meant,prevent,378
meant,scam,378
meant,promotion,378
meant,project,378
meant,official,378
meant,meta,420
meant,previous,420
meant,feedback,840
meant,send,420
meant,via,840
meant,want,420
meant,donate,420
meant,check,420
meant,account,420
meant,national,420
meant,bank,420
meant,set,420
meant,available,420
meant,border,420
meant,visit,420
meant,today,420
meant,turn,420
meant,hub,420
meant,every,420
meant,foreign,420
meant,citizen,420
meant,able,420
meant,necessary,420
meant,act,420
meant,critical,420
meant,bomb,420
meant,shelter,420
meant,leave,420
meant,country,504
meant,evacuate,420
meant,dangerous,420
meant,region,420
meant,interest,420
meant,map,420
meant,institute,420
meant,reliable,420
meant,medium,840
meant,coalition,420
meant,fact,420
meant,surround,420
meant,confuse,420
meant,source,420
meant,fake,420
meant,defense,420
meant,ministry,420
meant,refugee,420
meant,tracker,462
meant,chrome,420
meant,good,420
meant,alternative,420
meant,translate,420
meant,obey,420
meant,request,420
meant,refrain,420
meant,troop,420
meant,hatred,210
meant,group,210
meant,special,126
meant,one,84
meant,year,42
meant,ago,42
meant,show,42
meant,army,84
meant,capital,42
meant,never,84
meant,fell,84
meant,infamous,42
meant,line,42
meant,first,42
meant,find,42
meant,nothing,42
meant,gore,84
meant,devastate,42
meant,besiege,42
meant,saw,42
meant,hell,42
meant,call,42
meant,home,42
meant,horror,42
meant,well,42
meant,overlook,42
meant,battle,42
meant,li,42
meant,since,42
meant,break,42
meant,violence,42
meant,anyone,42
meant,provide,42
meant,context,42
meant,justify,42
meant,side,42
meant,conflict,42
meant,knowledge,42
meant,temporarily,42
meant,disable,42
meant,direct,42
meant,self,42
meant,text,42
meant,relate,42
meant,mere,42
meant,announcement,42
meant,diplomatic,42
meant,stance,42
meant,mind,42
meant,swift,84
meant,offer,42
meant,translation,42
meant,l,42
meant,limited,42
discussion,current,1386
discussion,war,2772
discussion,also,3948
discussion,know,462
discussion,invasion,1386
discussion,please,1386
discussion,read,462
discussion,extend,546
discussion,news,1848
discussion,guardian,504
discussion,associated,504
discussion,press,504
discussion,al,462
discussion,financial,252
discussion,times,252
discussion,section,210
discussion,get,924
discussion,date,924
discussion,information,1848
discussion,r,2226
discussion,live,924
discussion,thread,924
discussion,situation,1428
discussion,extension,1386
discussion,extended,378
discussion,curb,462
discussion,hate,798
discussion,speech,798
discussion,already,210
discussion,ban,672
discussion,remind,210
discussion,population,210
discussion,actively,210
discussion,help,210
discussion,russia,714
discussion,calling,462
discussion,kill,462
discussion,discretion,378
discussion,remove,1302
discussion,egregious,378
discussion,disrespect,378
discussion,point,420
discussion,make,378
discussion,international,924
discussion,law,462
discussion,apply,546
discussion,unverified,462
discussion,kind,924
discussion,unless,924
discussion,reputable,462
discussion,government,1302
discussion,absolutely,462
discussion,justification,462
discussion,addition,462
discussion,ask,840
discussion,add,462
discussion,tag,462
discussion,go,966
discussion,link,2940
discussion,graphic,462
discussion,footage,840
discussion,anything,462
discussion,consider,924
discussion,upsetting,462
discussion,combat,378
discussion,dead,378
discussion,people,756
discussion,submission,462
discussion,front,756
discussion,page,1386
discussion,status,462
discussion,major,1386
discussion,e,546
discussion,g,546
discussion,city,966
discussion,x,462
discussion,still,546
discussion,hold,462
discussion,would,1638
discussion,attack,462
discussion,dot,378
discussion,may,462
discussion,even,546
discussion,approve,756
discussion,site,1932
discussion,like,462
discussion,tass,462
discussion,archive,840
discussion,similar,462
discussion,u,672
discussion,script,210
discussion,notify,462
discussion,moderation,462
discussion,team,462
discussion,explain,462
discussion,person,462
discussion,organization,756
discussion,promote,378
discussion,new,756
discussion,non,378
discussion,profit,378
discussion,love,378
discussion,pour,378
discussion,civilian,378
discussion,limit,378
discussion,links,378
discussion,prevent,378
discussion,scam,378
discussion,promotion,378
discussion,project,378
discussion,official,378
discussion,meta,462
discussion,previous,462
discussion,feedback,924
discussion,send,462
discussion,via,924
discussion,want,462
discussion,donate,462
discussion,check,462
discussion,account,462
discussion,national,462
discussion,bank,462
discussion,set,462
discussion,available,462
discussion,border,462
discussion,visit,462
discussion,today,462
discussion,turn,462
discussion,hub,462
discussion,every,462
discussion,foreign,462
discussion,citizen,462
discussion,able,462
discussion,necessary,462
discussion,act,462
discussion,critical,462
discussion,bomb,462
discussion,shelter,462
discussion,leave,462
discussion,country,630
discussion,evacuate,462
discussion,dangerous,462
discussion,region,462
discussion,interest,462
discussion,map,462
discussion,institute,462
discussion,reliable,462
discussion,medium,924
discussion,coalition,462
discussion,fact,462
discussion,surround,462
discussion,confuse,462
discussion,source,462
discussion,fake,462
discussion,defense,462
discussion,ministry,462
discussion,refugee,462
discussion,tracker,546
discussion,chrome,462
discussion,good,462
discussion,alternative,462
discussion,translate,462
discussion,obey,462
discussion,request,462
discussion,refrain,462
discussion,troop,462
discussion,hatred,252
discussion,group,252
discussion,special,126
discussion,one,84
discussion,year,42
discussion,ago,42
discussion,show,42
discussion,army,84
discussion,capital,42
discussion,never,84
discussion,fell,84
discussion,infamous,42
discussion,line,42
discussion,first,42
discussion,find,42
discussion,nothing,42
discussion,gore,126
discussion,devastate,42
discussion,besiege,42
discussion,saw,42
discussion,hell,42
discussion,call,42
discussion,home,42
discussion,horror,42
discussion,well,42
discussion,overlook,42
discussion,battle,42
discussion,li,42
discussion,since,84
discussion,break,84
discussion,violence,84
discussion,anyone,84
discussion,provide,84
discussion,context,84
discussion,justify,84
discussion,side,84
discussion,conflict,84
discussion,knowledge,84
discussion,temporarily,84
discussion,disable,84
discussion,direct,84
discussion,self,84
discussion,text,84
discussion,relate,84
discussion,mere,84
discussion,announcement,84
discussion,diplomatic,84
discussion,stance,84
discussion,mind,84
discussion,swift,168
discussion,offer,84
discussion,translation,84
discussion,l,42
discussion,limited,42
current,war,7308
current,also,10836
current,know,1260
current,invasion,3780
current,please,3780
current,read,1260
current,extend,1386
current,news,5040
current,guardian,1386
current,associated,1386
current,press,1386
current,al,1260
current,financial,756
current,times,756
current,section,630
current,get,2520
current,date,2520
current,information,5040
current,r,6174
current,live,2520
current,thread,2520
current,situation,3906
current,extension,3780
current,extended,1134
current,curb,1260
current,hate,2394
current,speech,2394
current,already,630
current,ban,1890
current,remind,630
current,population,630
current,actively,630
current,help,630
current,russia,2016
current,calling,1260
current,kill,1260
current,discretion,1134
current,remove,3654
current,egregious,1134
current,disrespect,1134
current,point,1260
current,make,1134
current,international,2520
current,law,1260
current,apply,1386
current,unverified,1260
current,kind,2520
current,unless,2520
current,reputable,1260
current,government,3654
current,absolutely,1260
current,justification,1260
current,addition,1260
current,ask,2394
current,add,1260
current,tag,1260
current,go,2646
current,link,7812
current,graphic,1260
current,footage,2394
current,anything,1260
current,consider,2520
current,upsetting,1260
current,combat,1134
current,dead,1134
current,people,2268
current,submission,1260
current,front,2268
current,page,3780
current,status,1260
current,major,3780
current,e,1386
current,g,1386
current,city,2646
current,x,1260
current,still,1386
current,hold,1260
current,would,4158
current,attack,1260
current,dot,1134
current,may,1260
current,even,1386
current,approve,2016
current,site,5166
current,like,1260
current,tass,1260
current,archive,2394
current,similar,1260
current,u,1890
current,script,630
current,notify,1260
current,moderation,1260
current,team,1260
current,explain,1260
current,person,1260
current,organization,2268
current,promote,1134
current,new,2268
current,non,1134
current,profit,1134
current,love,1134
current,pour,1134
current,civilian,1134
current,limit,1134
current,links,1134
current,prevent,1134
current,scam,1134
current,promotion,1134
current,project,1134
current,official,1134
current,meta,1260
current,previous,1260
current,feedback,2520
current,send,1260
current,via,2520
current,want,1260
current,donate,1260
current,check,1260
current,account,1260
current,national,1260
current,bank,1260
current,set,1260
current,available,1260
current,border,1260
current,visit,1260
current,today,1260
current,turn,1260
current,hub,1260
current,every,1260
current,foreign,1260
current,citizen,1260
current,able,1260
current,necessary,1260
current,act,1260
current,critical,1260
current,bomb,1260
current,shelter,1260
current,leave,1260
current,country,1512
current,evacuate,1260
current,dangerous,1260
current,region,1260
current,interest,1260
current,map,1260
current,institute,1260
current,reliable,1260
current,medium,2520
current,coalition,1260
current,fact,1260
current,surround,1260
current,confuse,1260
current,source,1260
current,fake,1260
current,defense,1260
current,ministry,1260
current,refugee,1260
current,tracker,1386
current,chrome,1260
current,good,1260
current,alternative,1260
current,translate,1260
current,obey,1260
current,request,1260
current,refrain,1260
current,troop,1260
current,hatred,630
current,group,630
current,special,378
current,one,252
current,year,126
current,ago,126
current,show,126
current,army,252
current,capital,126
current,never,252
current,fell,252
current,infamous,126
current,line,126
current,first,126
current,find,126
current,nothing,126
current,gore,252
current,devastate,126
current,besiege,126
current,saw,126
current,hell,126
current,call,126
current,home,126
current,horror,126
current,well,126
current,overlook,126
current,battle,126
current,li,126
current,since,126
current,break,126
current,violence,126
current,anyone,126
current,provide,126
current,context,126
current,justify,126
current,side,126
current,conflict,126
current,knowledge,126
current,temporarily,126
current,disable,126
current,direct,126
current,self,126
current,text,126
current,relate,126
current,mere,126
current,announcement,126
current,diplomatic,126
current,stance,126
current,mind,126
current,swift,252
current,offer,126
current,translation,126
current,l,126
current,limited,126
war,also,21246
war,know,2436
war,invasion,7554
war,please,7308
war,read,2436
war,extend,2772
war,news,9785
war,guardian,2688
war,associated,2688
war,press,2688
war,al,2436
war,financial,1635
war,times,1512
war,section,1260
war,get,4872
war,date,4872
war,information,9744
war,r,11844
war,live,4872
war,thread,4872
war,situation,7560
war,extension,7308
war,extended,2100
war,curb,2436
war,hate,4620
war,speech,4620
war,already,1588
war,ban,3696
war,remind,1260
war,population,1260
war,actively,1260
war,help,1260
war,russia,5178
war,calling,2436
war,kill,2436
war,discretion,2100
war,remove,6972
war,egregious,2100
war,disrespect,2100
war,point,2352
war,make,2674
war,international,4995
war,law,2436
war,apply,2772
war,unverified,2436
war,kind,4872
war,unless,4872
war,reputable,2436
war,government,7095
war,absolutely,2436
war,justification,2436
war,addition,2436
war,ask,4536
war,add,2764
war,tag,2436
war,go,5124
war,link,15288
war,graphic,2436
war,footage,4536
war,anything,2436
war,consider,5200
war,upsetting,2436
war,combat,2100
war,dead,2100
war,people,4569
war,submission,2436
war,front,4200
war,page,7308
war,status,2436
war,major,7308
war,e,2772
war,g,2772
war,city,5124
war,x,2436
war,still,2895
war,hold,2436
war,would,8972
war,attack,2436
war,dot,2100
war,may,2436
war,even,3100
war,approve,4032
war,site,10080
war,like,2436
war,tass,2436
war,archive,4536
war,similar,2436
war,u,4024
war,script,1260
war,notify,2436
war,moderation,2436
war,team,2559
war,explain,2436
war,person,2436
war,organization,4200
war,promote,2100
war,new,4323
war,non,2223
war,profit,2346
war,love,2100
