Id,Label
meant,meant
discussion,discussion
current,current
war,war
also,also
know,know
invasion,invasion
please,please
read,read
extend,extend
news,news
guardian,guardian
associated,associated
press,press
al,al
financial,financial
times,times
section,section
get,get
date,date
information,information
r,r
live,live
thread,thread
situation,situation
extension,extension
extended,extended
curb,curb
hate,hate
speech,speech
already,already
ban,ban
remind,remind
population,population
actively,actively
help,help
russia,russia
calling,calling
kill,kill
discretion,discretion
remove,remove
egregious,egregious
disrespect,disrespect
point,point
make,make
international,international
law,law
apply,apply
unverified,unverified
kind,kind
unless,unless
reputable,reputable
government,government
absolutely,absolutely
justification,justification
addition,addition
ask,ask
add,add
tag,tag
go,go
link,link
graphic,graphic
footage,footage
anything,anything
consider,consider
upsetting,upsetting
combat,combat
dead,dead
people,people
submission,submission
front,front
page,page
status,status
major,major
e,e
g,g
city,city
x,x
still,still
hold,hold
would,would
attack,attack
dot,dot
may,may
even,even
approve,approve
site,site
like,like
tass,tass
archive,archive
similar,similar
u,u
script,script
notify,notify
moderation,moderation
team,team
explain,explain
person,person
organization,organization
promote,promote
new,new
non,non
profit,profit
love,love
pour,pour
civilian,civilian
limit,limit
links,links
prevent,prevent
scam,scam
promotion,promotion
project,project
official,official
meta,meta
previous,previous
feedback,feedback
send,send
via,via
want,want
donate,donate
check,check
account,account
national,national
bank,bank
set,set
available,available
border,border
visit,visit
today,today
turn,turn
hub,hub
every,every
foreign,foreign
citizen,citizen
able,able
necessary,necessary
act,act
critical,critical
bomb,bomb
shelter,shelter
leave,leave
country,country
evacuate,evacuate
dangerous,dangerous
region,region
interest,interest
map,map
institute,institute
reliable,reliable
medium,medium
coalition,coalition
fact,fact
surround,surround
confuse,confuse
source,source
fake,fake
defense,defense
ministry,ministry
refugee,refugee
tracker,tracker
chrome,chrome
good,good
alternative,alternative
translate,translate
obey,obey
request,request
refrain,refrain
troop,troop
hatred,hatred
group,group
special,special
one,one
year,year
ago,ago
show,show
army,army
capital,capital
never,never
fell,fell
infamous,infamous
line,line
first,first
find,find
nothing,nothing
gore,gore
devastate,devastate
besiege,besiege
saw,saw
hell,hell
call,call
home,home
horror,horror
well,well
overlook,overlook
battle,battle
li,li
creation,creation
since,since
break,break
violence,violence
anyone,anyone
provide,provide
context,context
justify,justify
side,side
conflict,conflict
knowledge,knowledge
temporarily,temporarily
disable,disable
direct,direct
self,self
text,text
relate,relate
mere,mere
announcement,announcement
diplomatic,diplomatic
stance,stance
mind,mind
swift,swift
offer,offer
translation,translation
l,l
limited,limited
come,come
zac,zac
man,man
wait,wait
blow,blow
lead,lead
game,game
start,start
time,time
lose,lose
crime,crime
everyone,everyone
east,east
coast,coast
least,least
tonight,tonight
let,let
guess,guess
final,final
score,score
indicate,indicate
win,win
assume,assume
pick,pick
scorer,scorer
winning,winning
goal,goal
total,total
combine,combine
sea,sea
user,user
season,season
correct,correct
great,great
disastrous,disastrous
wealth,wealth
ancient,ancient
mariner,mariner
something,something
give,give
wrong,wrong
value,value
sure,sure
either,either
insane,insane
hope,hope
except,except
miss,miss
improve,improve
lottery,lottery
odds,odds
learn,learn
rival,rival
back,back
generational,generational
penalty,penalty
within,within
minute,minute
format,format
period,period
mar,mar
h,h
ow,ow
accurate,accurate
grad,grad
designed,designed
deliver,deliver
munition,munition
area,area
rather,rather
target,target
precision,precision
weapon,weapon
range,range
full,full
salvo,salvo
fire,fire
lethal,lethal
shutout,shutout
test,test
car,car
potential,potential
yet,yet
always,always
hard,hard
crack,crack
top,top
list,list
another,another
annoy,annoy
divisional,divisional
opponent,opponent
end,end
road,road
trip,trip
positive,positive
victory,victory
last,last
month,month
several,several
contention,contention
luck,luck
beck,beck
alone,alone
single,single
franchise,franchise
unfortunately,unfortunately
around,around
glass,glass
paper,paper
try,try
carry,carry
roster,roster
half,half
fill,fill
blown,blown
easily,easily
next,next
high,high
fly,fly
pull,pull
tough,tough
keep,keep
player,player
take,take
nick,nick
case,case
need,need
change,change
future,future
move,move
forward,forward
comeback,comeback
see,see
overcome,overcome
deficit,deficit
fun,fun
really,really
solid,solid
remember,remember
without,without
important,important
overall,overall
seem,seem
genuine,genuine
especially,especially
distinct,distinct
advantage,advantage
regard,regard
bottom,bottom
sort,sort
could,could
play,play
land,land
later,later
post,post
stand,stand
sometime,sometime
comment,comment
directly,directly
chase,chase
scrape,scrape
work,work
many,many
expect,expect
stretch,stretch
shot,shot
net,net
edit,edit
update,update
switch,switch
nice,nice
offensive,offensive
outburst,outburst
ice,ice
cake,cake
bit,bit
think,think
far,far
advanced,advanced
say,say
stink,stink
look,look
lens,lens
best,best
guy,guy
replace,replace
brown,brown
significantly,significantly
