Id,Lable,Weight
0,team,9675
1,go,7579
2,scorer,6072
3,game,5574
4,season,5530
5,correct,5488
6,please,4401
7,win,4229
8,let,4229
9,point,4147
10,also,4070
11,goal,3978
12,guess,3686
13,either,3646
14,donate,3558
15,score,3434
16,pick,3349
17,previous,3309
18,turn,3227
19,final,3181
20,tag,3143
21,great,3143
22,war,3092
23,indicate,3014
24,assume,3014
25,winning,2973
26,something,2932
27,give,2931
28,sure,2847
29,user,2765
30,wrong,2765
31,insane,2765
32,ancient,2723
33,wealth,2723
34,value,2723
35,mariner,2723
36,disastrous,2723
37,link,2604
38,get,2515
39,r,2100
40,first,1970
41,total,1967
42,would,1887
43,back,1760
44,site,1722
45,news,1721
46,information,1680
47,time,1677
48,combine,1590
49,mar,1552
50,u,1510
51,one,1461
52,good,1425
53,situation,1344
54,invasion,1342
55,major,1302
56,page,1260
57,extension,1260
58,current,1260
59,government,1259
60,new,1257
61,hope,1255
62,russia,1246
63,remove,1218
64,make,1172
65,like,1089
66,people,1046
67,still,1006
68,thread,966
69,consider,965
70,city,924
71,front,922
72,year,918
73,hate,882
74,international,881
75,kind,881
76,tonight,881
77,unless,840
78,medium,840
79,date,840
80,feedback,840
81,via,840
82,live,840
83,ask,798
84,archive,798
85,footage,798
86,speech,798
87,organization,756
88,last,755
89,well,752
90,hopefully,713
91,within,713
92,today,711
93,everyone,710
94,approve,672
95,know,672
96,even,671
97,keep,669
98,support,656
99,ban,630
100,set,628
101,take,627
102,x,588
103,add,587
104,love,587
105,leave,587
106,come,586
107,able,586
108,defense,586
109,see,586
110,penalty,586
111,may,546
112,start,545
113,need,544
114,without,544
115,every,544
116,country,504
117,fact,504
118,lose,504
119,tough,503
120,visit,502
121,check,502
122,around,499
123,thank,493
124,minute,462
125,discussion,462
126,g,462
127,absolutely,462
128,guardian,462
129,e,462
130,tracker,462
131,dangerous,462
132,apply,462
133,press,462
134,extend,462
135,associated,462
136,chrome,461
137,person,461
138,critical,461
139,law,461
140,national,461
141,foreign,461
142,request,461
143,profit,460
144,project,460
145,look,460
146,submission,420
147,justification,420
148,calling,420
149,status,420
150,graphic,420
151,curb,420
152,meant,420
153,upsetting,420
154,unverified,420
155,hold,420
156,similar,420
157,tass,420
158,notify,420
159,moderation,420
160,reputable,420
161,anything,420
162,addition,420
163,shelter,420
164,bomb,420
165,act,420
166,attack,420
167,want,420
168,refrain,420
169,troop,420
170,translate,420
171,obey,420
172,citizen,420
173,refugee,420
174,ministry,420
175,hub,420
176,send,420
177,meta,420
178,evacuate,420
179,coalition,420
180,surround,420
181,confuse,420
182,source,420
183,fake,420
184,explain,420
185,border,420
186,bank,420
187,available,420
188,necessary,420
189,account,420
190,map,420
191,alternative,420
192,region,420
193,interest,420
194,reliable,420
195,institute,420
196,read,420
197,car,420
198,al,420
199,kill,420
200,many,419
201,non,419
202,bonus,419
203,civilian,419
204,pit,418
205,high,417
206,could,416
207,end,415
208,dead,378
209,pour,378
210,dot,378
211,promotion,378
212,scam,378
213,prevent,378
214,official,378
215,luck,378
216,right,378
217,home,378
218,disrespect,378
219,discretion,378
220,egregious,378
221,extended,378
222,limit,378
223,links,378
224,combat,378
225,promote,378
226,shot,377
227,player,377
228,help,376
229,nice,376
230,much,373
231,best,336
232,period,336
233,month,336
234,put,335
235,say,335
236,top,334
237,road,334
238,way,334
239,bad,294
240,none,294
241,trip,293
242,least,293
243,think,293
